value,description
1,Northern New England (New Hampshire and Maine)
2,"Central New England (Connecticut, Massachusetts, Rhode Island, and Vermont)"
3,New York
4,New Jersey
5,"Mid-Atlantic (Delaware, District of Columbia and Maryland)"
6,Pennsylvania and West Virginia
7,North Carolina and Virginia
8,Georgia and South Carolina
9,Florida
10,Alabama and Tennessee
11,Michigan
12,Ohio
13,Indiana and Kentucky
14,Illinois and Wisconsin
15,Arkansas and Missouri
16,Louisiana and Mississippi
17,Texas
18,Kansas and Oklahoma
19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
20,Colorado and New Mexico
21,Arizona
22,Nevada
23,"Northwest (Idaho, Oregon, Utah and Washington)"
24,California
25,Hawaii
26,Alaska
