fda_unii_code,fda_unii_display_name
506T60A25R,SORBITOL
3OWL53L36A,MANNITOL
7CVR7L4A2D,MALTODEXTRIN
VCQ006KQ1E,XYLITOL
8KW3E207O2,SORBITOL SOLUTION
D65DG142WK,MALTITOL
LX22YL083G,DEXTROSE MONOHYDRATE
J2S07SB0YL,HYDROLYZED WHEAT PROTEIN (ENZYMATIC; 3000 MW)
5PWM7YLI7R,BARLEY
14C97E680P,WHEAT GERM OIL
YR3G369F5A,WHEAT GERM
8XWR7NN42F,ANHYDROXYLITOL
XJ6S9RV06F,"MALTOSE, UNSPECIFIED FORM"
9E0S3UM200,NONCRYSTALLIZING SORBITOL SOLUTION
27F77DSJ5V,HYDROGENATED STARCH HYDROLYSATE
4J2I0SN84Y,WHEAT
0370GZL32F,"AMINO ACIDS, WHEAT"
79QS2MG2LP,"STARCH, WHEAT"
6L966A1IMR,WHEAT BRAN
E945AJ51FA,"CITRIC ACID, 1-STEARYL ESTER"
3K32950CI0,WHEAT SPROUT
0R4AQI398X,RYE
658271J00C,SORBITOL MONOOLEATE
01Q0586BG1,"SORBITOL, L-"
6AXM7XCV3D,WHEAT GERM OIL UNSAPONIFIABLES
JW3VT57I11,SODIUM COCOYL WHEAT AMINO ACIDS
B44PS4T8IN,CETEARYL WHEAT STRAW GLYCOSIDES
12H8QE0WQI,WHEAT MIDDLINGS
1534K8653J,WHEAT GLUTEN
N0Y68724R3,BUCKWHEAT
V22EX3SL9Z,DIBENZYLIDENE SORBITOL
Y8P5S7CF2S,POLYGLUCOSE SORBITOL CARBOXYMETHYL ETHER
